branch,input_ng,rt_bin,phospho_sum_mean
classic,200,11.75,2559656.022524923
classic,200,12.25,2325240.2165428996
classic,200,12.75,2276309.6252645254
classic,200,13.25,1765979.2150248885
classic,200,13.75,1172898.1031155288
classic,200,14.25,445327.61710104346
classic,200,14.75,121036.48387110233
classic,200,15.25,18009.50941979885
classic,200,15.75,93.40267880757649
classic,500,4.25,446967.76074406505
classic,500,4.75,4191463.134111762
classic,500,5.25,10280327.550275564
classic,500,5.75,7825559.077220231
classic,500,6.25,8693800.263604105
classic,500,6.75,12813949.57690993
classic,500,7.25,8965404.623340875
classic,500,7.75,9645531.60036388
classic,500,8.25,9124498.248030514
classic,500,8.75,8972087.049678922
classic,500,9.25,8346680.774659544
classic,500,9.75,8984488.607322514
classic,500,10.25,6713937.248364508
classic,500,10.75,6264479.188622057
classic,500,11.25,5179601.507479608
classic,500,11.75,5970609.619789094
classic,500,12.25,5034136.812366575
classic,500,12.75,4493899.574734777
classic,500,13.25,3669818.8227365017
classic,500,13.75,2646155.577148676
classic,500,14.25,1029832.7117493749
classic,500,14.75,265837.45235317945
classic,500,15.25,47044.49840301275
classic,500,15.75,255.8758693933487
classic,1000,4.25,942933.6310810447
classic,1000,4.75,8015617.852685958
classic,1000,5.25,16472728.222116262
classic,1000,5.75,12015390.157096714
classic,1000,6.25,13380064.261674047
classic,1000,6.75,17938993.582998157
classic,1000,7.25,13402405.497993708
classic,1000,7.75,15367569.567067385
classic,1000,8.25,14143254.79106754
classic,1000,8.75,13397312.932764113
classic,1000,9.25,12072001.45977366
classic,1000,9.75,13838949.904317021
classic,1000,10.25,10056635.50118658
classic,1000,10.75,9299334.78162384
classic,1000,11.25,7808838.0417072475
classic,1000,11.75,8528996.792622924
classic,1000,12.25,7904603.035604626
classic,1000,12.75,6668072.088178426
classic,1000,13.25,6285065.098672956
classic,1000,13.75,3961280.5408979356
classic,1000,14.25,1652443.6718499064
classic,1000,14.75,376304.1217419207
classic,1000,15.25,61656.734190404415
classic,1000,15.75,339.98900616168976
hybrid,10,4.25,2729.5366920530796
hybrid,10,4.75,9741.481002688408
hybrid,10,5.25,23283.69987422228
hybrid,10,5.75,31082.18864095211
hybrid,10,6.25,14205.909718513489
hybrid,10,6.75,26025.573942124844
hybrid,10,7.25,14689.128562629223
hybrid,10,7.75,35198.79822331667
hybrid,10,8.25,13644.872800529003
hybrid,10,8.75,34042.88484323025
