branch,input_ng,run,well,classI_sites,phosphoprecursors,total_precursors,phospho_selectivity_pct
woCleanup,200,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_woCleanUp_200ng_F3,F3,13866,48175,102303,47.1
woCleanup,200,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_woCleanUp_200ng_G3,G3,13784,48336,104723,46.2
woCleanup,200,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_woCleanUp_200ng_H3,H3,13590,47942,103332,46.4
woCleanup,500,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_woCleanUp_500ng_E2,E2,18850,66120,152091,43.5
woCleanup,500,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_woCleanUp_500ng_F2,F2,18947,66317,151359,43.8
woCleanup,500,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_woCleanUp_500ng_G2,G2,18909,66244,150288,44.1
woCleanup,500,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_woCleanUp_500ng_H2,H2,18882,66384,152347,43.6
woCleanup,1000,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_woCleanUp_1000ng_E1,E1,21001,73023,166462,43.9
woCleanup,1000,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_woCleanUp_1000ng_F1,F1,21816,73143,157398,46.5
woCleanup,1000,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_woCleanUp_1000ng_G1,G1,18657,63810,146245,43.6
woCleanup,1000,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_woCleanUp_1000ng_H1,H1,19144,65771,142456,46.2
