UniProt	KEGG name
P41133	TGF-beta signaling pathway
Q9JHJ8	Cell adhesion molecules (CAMs);Intestinal immune network for IgA production
P41139	TGF-beta signaling pathway
P41136;O88604	TGF-beta signaling pathway
P70404	Citrate cycle (TCA cycle)
Q9D6R2;Q3UAM8;Q8C8A1;Q9D1L1	Citrate cycle (TCA cycle)
P58044;Q4FJU2	Terpenoid backbone biosynthesis
O88844;Q3UAV7	Citrate cycle (TCA cycle);Glutathione metabolism;Carbon fixation pathways in prokaryotes;Peroxisome
P54071;Q8C2R9;Q9EQK1	Citrate cycle (TCA cycle);Glutathione metabolism;Carbon fixation pathways in prokaryotes;Peroxisome
Q8BVN8;Q0IIN3;Q147V3	Huntington's disease
Q08890;Q32KI7;Q3TM30	Glycosaminoglycan degradation;Lysosome
Q8BMJ3;Q3UY50;Q6ZWL8;Q8BJZ2;Q8BMH8;Q9CSL9	RNA transport
Q60872;O88847;Q8R2M4;Q9CX76;Q9DB61	RNA transport
Q99L45;Q9CSH6;Q9CT12	RNA transport
Q6ZWX6;Q3TIQ0	RNA transport;Protein processing in endoplasmic reticulum;Hepatitis C;Measles
Q9Z0N1	RNA transport
Q9Z0N2	RNA transport
Q05D44;Q3SYI4;Q3TQJ8;Q3UL37;Q3UM39;Q6PAI0;Q8CFF4;Q8CGD6	RNA transport
P60843;P04765;Q61516	RNA transport
P10630;Q61513;Q61514	RNA transport
Q91VC3;B2RY38;Q3TEZ8;Q3UD29;Q8BVY3	RNA transport;mRNA surveillance pathway;Spliceosome
Q62448;P97867;Q0VGZ3;Q3UNC1;Q5XKD8;Q6P1Z0;Q921U3	RNA transport;Viral myocarditis
Q8BGD9;Q3TD64	RNA transport;mTOR signaling pathway
P63073;P20415	RNA transport;mTOR signaling pathway;Insulin signaling pathway
Q80XI3;Q6GQV5;Q80Y69;Q8BJ68;Q8BQF3;Q8C6Q3;Q8CIH0	RNA transport;Viral myocarditis
Q8BMB3;O88503;Q3UCK2	RNA transport;mTOR signaling pathway;Insulin signaling pathway
P59325	RNA transport
Q8R5F7;A2AUY7;Q3U6S2;Q68EM4;Q8BYC9;Q8BZ01;Q8K5C7;Q8R144;Q8VE79;Q99KS4;Q9D2Z5	RIG-I-like receptor signaling pathway;Measles
O55135	Ribosome biogenesis in eukaryotes
Q9R002;E9QLD9;P15091;Q38JF1;Q7TMN6;Q8VEL7	Cytosolic DNA-sensing pathway
Q61716;Q810G4	Cytokine-cytokine receptor interaction;Regulation of autophagy;Toll-like receptor signaling pathway;RIG-I-like receptor signaling pathway;Cytosolic DNA-sensing pathway;Jak-STAT signaling pathway;Natural killer cell mediated cytotoxicity;ko05152;Hepatitis C;Measles;Autoimmune thyroid disease
Q80SS5	Cytokine-cytokine receptor interaction;Regulation of autophagy;Toll-like receptor signaling pathway;RIG-I-like receptor signaling pathway;Cytosolic DNA-sensing pathway;Jak-STAT signaling pathway;Natural killer cell mediated cytotoxicity;ko05152;Hepatitis C;Measles;Autoimmune thyroid disease
Q64282;Q99L77	Hepatitis C
Q80SU4	Cytokine-cytokine receptor interaction;Regulation of autophagy;Toll-like receptor signaling pathway;RIG-I-like receptor signaling pathway;Cytosolic DNA-sensing pathway;Jak-STAT signaling pathway;Natural killer cell mediated cytotoxicity;ko05152;Hepatitis C;Measles;Autoimmune thyroid disease
Q80ZF2	Cytokine-cytokine receptor interaction;RIG-I-like receptor signaling pathway;Jak-STAT signaling pathway
Q6NZJ6;Q6NZN8;Q8BW99	RNA transport;Viral myocarditis
P07351	Cytokine-cytokine receptor interaction;Regulation of autophagy;Toll-like receptor signaling pathway;RIG-I-like receptor signaling pathway;Cytosolic DNA-sensing pathway;Jak-STAT signaling pathway;Natural killer cell mediated cytotoxicity;ko05152;Hepatitis C;Measles;Autoimmune thyroid disease
Q8CGK6;Q4VK73	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway
P01575	Cytokine-cytokine receptor interaction;Osteoclast differentiation;Toll-like receptor signaling pathway;RIG-I-like receptor signaling pathway;Cytosolic DNA-sensing pathway;Jak-STAT signaling pathway;Natural killer cell mediated cytotoxicity;Chagas disease (American trypanosomiasis);ko05152;Hepatitis C;Measles
P01580;Q542B8	Proteasome;Cytokine-cytokine receptor interaction;Regulation of autophagy;TGF-beta signaling pathway;Osteoclast differentiation;Antigen processing and presentation;Jak-STAT signaling pathway;Natural killer cell mediated cytotoxicity;T cell receptor signaling pathway;Type I diabetes mellitus;Leishmaniasis;Chagas disease (American trypanosomiasis);African trypanosomiasis;Malaria;Toxoplasmosis;Amoebiasis;ko05152;Measles;Systemic lupus erythematosus;Rheumatoid arthritis;Allograft rejection;Graft-versus-host disease
Q7TSL0	Cytokine-cytokine receptor interaction;RIG-I-like receptor signaling pathway;Jak-STAT signaling pathway
P09235	Cytokine-cytokine receptor interaction;Regulation of autophagy;Toll-like receptor signaling pathway;RIG-I-like receptor signaling pathway;Cytosolic DNA-sensing pathway;Jak-STAT signaling pathway;Natural killer cell mediated cytotoxicity;ko05152;Hepatitis C;Measles;Autoimmune thyroid disease
Q4VK74;E9Q2S2	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway
Q8BXG3;Q924M2;Q9CUS6	Huntington's disease
P01572;Q7M0A3;Q810G7	Cytokine-cytokine receptor interaction;Regulation of autophagy;Toll-like receptor signaling pathway;RIG-I-like receptor signaling pathway;Cytosolic DNA-sensing pathway;Jak-STAT signaling pathway;Natural killer cell mediated cytotoxicity;ko05152;Hepatitis C;Measles;Autoimmune thyroid disease
P52787;Q8C5C1	Vitamin digestion and absorption
P05017;P05018;Q6LDP4;Q8C4U6	Oocyte meiosis;p53 signaling pathway;mTOR signaling pathway;Focal adhesion;Long-term depression;Progesterone-mediated oocyte maturation;Aldosterone-regulated sodium reabsorption;Pathways in cancer;Glioma;Prostate cancer;Melanoma;Hypertrophic cardiomyopathy (HCM);Dilated cardiomyopathy
Q60751;O70438;Q62123	Oocyte meiosis;Endocytosis;Focal adhesion;Adherens junction;Long-term depression;Progesterone-mediated oocyte maturation;Pathways in cancer;Glioma;Prostate cancer;Melanoma
Q7TSN7;Q9D8G2	Tight junction;Epithelial cell signaling in Helicobacter pylori infection
Q9Z1E3;Q3U9W9;Q3UB40;Q80ZX5	Chemokine signaling pathway;Apoptosis;Osteoclast differentiation;Toll-like receptor signaling pathway;NOD-like receptor signaling pathway;RIG-I-like receptor signaling pathway;Cytosolic DNA-sensing pathway;T cell receptor signaling pathway;B cell receptor signaling pathway;Neurotrophin signaling pathway;Adipocytokine signaling pathway;Epithelial cell signaling in Helicobacter pylori infection;Shigellosis;Leishmaniasis;Chagas disease (American trypanosomiasis);Toxoplasmosis;Hepatitis C;Measles;Pathways in cancer;Prostate cancer;Chronic myeloid leukemia;Small cell lung cancer
P43431	Cytokine-cytokine receptor interaction;Toll-like receptor signaling pathway;RIG-I-like receptor signaling pathway;Jak-STAT signaling pathway;Type I diabetes mellitus;Leishmaniasis;Chagas disease (American trypanosomiasis);African trypanosomiasis;Malaria;Toxoplasmosis;Amoebiasis;ko05152;Measles;Allograft rejection
O88351;Q9R1J6	MAPK signaling pathway;Chemokine signaling pathway;Apoptosis;Osteoclast differentiation;Toll-like receptor signaling pathway;NOD-like receptor signaling pathway;RIG-I-like receptor signaling pathway;Cytosolic DNA-sensing pathway;T cell receptor signaling pathway;B cell receptor signaling pathway;Neurotrophin signaling pathway;Insulin signaling pathway;Adipocytokine signaling pathway;Type II diabetes mellitus;Epithelial cell signaling in Helicobacter pylori infection;Shigellosis;Chagas disease (American trypanosomiasis);Toxoplasmosis;Hepatitis C;Pathways in cancer;Pancreatic cancer;Prostate cancer;Chronic myeloid leukemia;Acute myeloid leukemia;Small cell lung cancer
P97812;Q61724	Hedgehog signaling pathway
P47873	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway;Hematopoietic cell lineage;Rheumatoid arthritis
Q60778;Q564F1;Q9D6L5	Chemokine signaling pathway;NOD-like receptor signaling pathway;RIG-I-like receptor signaling pathway;Cytosolic DNA-sensing pathway;T cell receptor signaling pathway;B cell receptor signaling pathway;Neurotrophin signaling pathway;Adipocytokine signaling pathway;Shigellosis;Leishmaniasis;Toxoplasmosis;Measles
P18893;Q0VBJ1	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway;T cell receptor signaling pathway;Intestinal immune network for IgA production;Leishmaniasis;Chagas disease (American trypanosomiasis);African trypanosomiasis;Malaria;Toxoplasmosis;Amoebiasis;Staphylococcus aureus infection;ko05152;Asthma;Autoimmune thyroid disease;Systemic lupus erythematosus;Allograft rejection
P43432;Q9QUM1	Cytokine-cytokine receptor interaction;Toll-like receptor signaling pathway;RIG-I-like receptor signaling pathway;Jak-STAT signaling pathway;Type I diabetes mellitus;Leishmaniasis;Chagas disease (American trypanosomiasis);African trypanosomiasis;Toxoplasmosis;Amoebiasis;ko05152;Measles;Allograft rejection
Q62386;Q60971	Cytokine-cytokine receptor interaction;Rheumatoid arthritis
Q8CJ70	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway
Q9R0T8;Q8C2I3	Toll-like receptor signaling pathway;RIG-I-like receptor signaling pathway;Cytosolic DNA-sensing pathway;Hepatitis C;Measles
O54910;Q3U686;Q9CZZ9;Q9D7U3	T cell receptor signaling pathway;B cell receptor signaling pathway;Neurotrophin signaling pathway;Adipocytokine signaling pathway
P48346	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway;Intestinal immune network for IgA production;Rheumatoid arthritis
P27931	MAPK signaling pathway;Cytokine-cytokine receptor interaction;Hematopoietic cell lineage;Amoebiasis
Q61098	Cytokine-cytokine receptor interaction
P10749;Q2M4J6	MAPK signaling pathway;Cytokine-cytokine receptor interaction;Apoptosis;Osteoclast differentiation;Toll-like receptor signaling pathway;NOD-like receptor signaling pathway;Cytosolic DNA-sensing pathway;Hematopoietic cell lineage;Type I diabetes mellitus;Alzheimer's disease;Prion diseases;Leishmaniasis;Chagas disease (American trypanosomiasis);African trypanosomiasis;Malaria;Amoebiasis;ko05152;Measles;Rheumatoid arthritis;Graft-versus-host disease
Q61730;Q3UVZ1;Q8VCB9	Cytokine-cytokine receptor interaction;Apoptosis
P20109	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway;Fc epsilon RI signaling pathway;Measles;Asthma
Q9QXT6;Q99MY3;Q9CTI4	Cytokine-cytokine receptor interaction
Q9ES17	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway
Q9JJY9;Q14BB3	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway
P70380	Cytokine-cytokine receptor interaction;NOD-like receptor signaling pathway;Cytosolic DNA-sensing pathway;African trypanosomiasis;Malaria;ko05152;Rheumatoid arthritis
P34902	Cytokine-cytokine receptor interaction;Endocytosis;Jak-STAT signaling pathway;Measles;Primary immunodeficiency
Q9JKV9	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway
Q9EQ14	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway;ko05152;Rheumatoid arthritis
P01582	MAPK signaling pathway;Cytokine-cytokine receptor interaction;Apoptosis;Osteoclast differentiation;Hematopoietic cell lineage;Type I diabetes mellitus;Prion diseases;Leishmaniasis;ko05152;Measles;Rheumatoid arthritis;Graft-versus-host disease
P13504	MAPK signaling pathway;Cytokine-cytokine receptor interaction;Apoptosis;Osteoclast differentiation;Hematopoietic cell lineage;Amoebiasis
Q9JHX3;Q9ESM1	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway
P01590;Q61731	Cytokine-cytokine receptor interaction;Endocytosis;Jak-STAT signaling pathway;Hematopoietic cell lineage;Measles
Q8K4B4	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway
P04351;P97945;Q791T3	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway;T cell receptor signaling pathway;Intestinal immune network for IgA production;Type I diabetes mellitus;Chagas disease (American trypanosomiasis);Measles;Autoimmune thyroid disease;Allograft rejection;Graft-versus-host disease
P07750	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway;Hematopoietic cell lineage;T cell receptor signaling pathway;Fc epsilon RI signaling pathway;Intestinal immune network for IgA production;Leishmaniasis;Measles;Asthma;Autoimmune thyroid disease;Allograft rejection
Q925S4;Q925J3	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway
P04401	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway;Hematopoietic cell lineage;T cell receptor signaling pathway;Fc epsilon RI signaling pathway;Intestinal immune network for IgA production;Asthma;Autoimmune thyroid disease;Allograft rejection
P16297;Q3TZT2	Cytokine-cytokine receptor interaction;Endocytosis;Jak-STAT signaling pathway;Measles
P26954	Cytokine-cytokine receptor interaction;Apoptosis;Jak-STAT signaling pathway
Q8VHH8	Cytokine-cytokine receptor interaction
P16382;O54690;Q60583;Q8CBW5	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway;Hematopoietic cell lineage
Q9D154;Q3TV23;Q5SUV7;Q9D0S8;Q9D7S8	Amoebiasis
P26952;B9VI80	Cytokine-cytokine receptor interaction;Apoptosis;Jak-STAT signaling pathway;Hematopoietic cell lineage
Q8VHP7	Amoebiasis
Q5SV42;Q5SW82;Q8K3Y1	Amoebiasis
P21183	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway;Hematopoietic cell lineage
Q8BVZ5;Q2YEJ4;Q3TQN0;Q99L46	Cytosolic DNA-sensing pathway
P16872;Q9R0C1	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway;Hematopoietic cell lineage;Primary immunodeficiency
P26955;Q3U7L5	Cytokine-cytokine receptor interaction;Apoptosis;Jak-STAT signaling pathway
P22272	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway;Hematopoietic cell lineage
P08505;Q3UCQ0;Q8BN26	Cytokine-cytokine receptor interaction;Toll-like receptor signaling pathway;NOD-like receptor signaling pathway;Cytosolic DNA-sensing pathway;Jak-STAT signaling pathway;Hematopoietic cell lineage;Intestinal immune network for IgA production;Prion diseases;Chagas disease (American trypanosomiasis);African trypanosomiasis;Malaria;Amoebiasis;ko05152;Measles;Pathways in cancer;Rheumatoid arthritis;Graft-versus-host disease;Hypertrophic cardiomyopathy (HCM)
P10168	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway;Hematopoietic cell lineage
P01586	Cytokine-cytokine receptor interaction;Apoptosis;Jak-STAT signaling pathway;Hematopoietic cell lineage;Fc epsilon RI signaling pathway;Asthma
Q01114	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway;Hematopoietic cell lineage
P15247	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway;Asthma
Q00560;G5E8D2	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway
O55222;Q78KK2	PPAR signaling pathway;Focal adhesion;Bacterial invasion of epithelial cells;Endometrial cancer
P24547;Q61734;Q91Z11	Purine metabolism;Drug metabolism - other enzymes
P70168;Q62117;Q6GTI5	RNA transport
P50096;Q7TSG7	Purine metabolism;Drug metabolism - other enzymes
Q921Y2	Ribosome biogenesis in eukaryotes
Q9CQU8;Q3THN4	Protein export
Q8BPT6;Q3TTI2;Q925F6	Protein export
Q8VHZ7;Q3U8H6;Q8CI42;Q9CWN6;Q9CYT5	Ribosome biogenesis in eukaryotes
Q91UZ5	Streptomycin biosynthesis;Inositol phosphate metabolism;Phosphatidylinositol signaling system
P33896;Q80UJ3	Cytokine-cytokine receptor interaction;Osteoclast differentiation;Toll-like receptor signaling pathway;Jak-STAT signaling pathway;Natural killer cell mediated cytotoxicity;Hepatitis C;Measles
Q63ZW7;A2ADS7;O70471;Q5PRG3;Q6P6J1;Q80YR8;Q8BPB9	Tight junction
O35664;O35238;O35663;O35983;Q923Z5	Cytokine-cytokine receptor interaction;Osteoclast differentiation;Toll-like receptor signaling pathway;Jak-STAT signaling pathway;Natural killer cell mediated cytotoxicity;Hepatitis C;Measles
Q04999;Q3V1N0;Q61277;Q80VC4	Cytokine-cytokine receptor interaction;TGF-beta signaling pathway
P55104;Q61452	Cytokine-cytokine receptor interaction;TGF-beta signaling pathway
O08717;Q91XH3	Cytokine-cytokine receptor interaction;TGF-beta signaling pathway
Q9JHU9	Streptomycin biosynthesis;Inositol phosphate metabolism
Q8CGK5;Q6PEV1	Cytokine-cytokine receptor interaction;Jak-STAT signaling pathway
P15261;Q91Y85	Cytokine-cytokine receptor interaction;Osteoclast differentiation;Jak-STAT signaling pathway;Natural killer cell mediated cytotoxicity;Leishmaniasis;Chagas disease (American trypanosomiasis);Toxoplasmosis;ko05152;Measles
Q9EPW0;Q8CBJ8	Inositol phosphate metabolism;Phosphatidylinositol signaling system
Q8C5L6;O09040	Inositol phosphate metabolism;Phosphatidylinositol signaling system
Q04998	Cytokine-cytokine receptor interaction;TGF-beta signaling pathway
P40936;Q9CZ50	Tryptophan metabolism;Selenocompound metabolism
Q6P1Y8	Inositol phosphate metabolism;Phosphatidylinositol signaling system
P01326	Oocyte meiosis;Regulation of autophagy;mTOR signaling pathway;Regulation of actin cytoskeleton;Insulin signaling pathway;Progesterone-mediated oocyte maturation;Type II diabetes mellitus;Type I diabetes mellitus;Maturity onset diabetes of the young;Aldosterone-regulated sodium reabsorption;Prostate cancer
P01325;Q545I7;Q9D907	Oocyte meiosis;Regulation of autophagy;mTOR signaling pathway;Regulation of actin cytoskeleton;Insulin signaling pathway;Progesterone-mediated oocyte maturation;Type II diabetes mellitus;Type I diabetes mellitus;Maturity onset diabetes of the young;Aldosterone-regulated sodium reabsorption;Prostate cancer
P49442;Q8R3L1	Inositol phosphate metabolism;Phosphatidylinositol signaling system
Q9JII1;Q3TCC9	Inositol phosphate metabolism;Phosphatidylinositol signaling system
Q9WTL4;B2RQC5	Regulation of actin cytoskeleton;Prostate cancer
P15208;F8VPU4	Adherens junction;Insulin signaling pathway;Type II diabetes mellitus;Aldosterone-regulated sodium reabsorption
Q8R071;A2AQ20	Inositol phosphate metabolism;Calcium signaling pathway;Phosphatidylinositol signaling system
Q7TT16;Q8BZ11;Q8BZA8;Q9CWM9	Inositol phosphate metabolism
P70458;Q5BKQ8;Q8BU50	Complement and coagulation cascades
Q91VM9;Q3UPK3;Q8BTG5;Q9D1E3	Oxidative phosphorylation
Q6P1C1;Q3V3Z0	Inositol phosphate metabolism;Phosphatidylinositol signaling system
Q9D819	Oxidative phosphorylation
Q8R0S2;Q3TZC3;Q5DU15	Endocytosis
Q3TES0;Q3UHP8;Q80TJ8	Endocytosis
Q62406;B1AUW4;Q6Y3Z5;Q6Y3Z6	Apoptosis;Toll-like receptor signaling pathway;Neurotrophin signaling pathway;Leishmaniasis;Chagas disease (American trypanosomiasis);Toxoplasmosis;ko05152;Measles
Q8CFA1;Q3U3K2;Q3U7F5;Q3UFX2;Q5U404;Q6YBR8;Q6YBR9;Q6YBS0;Q6YBS1;Q8C5M0;Q8CC82;Q8CEA0	Apoptosis;Neurotrophin signaling pathway;ko05152
P70671	Toll-like receptor signaling pathway;RIG-I-like receptor signaling pathway;Cytosolic DNA-sensing pathway;Hepatitis C;Measles
Q9JKF1;G3UW45	Regulation of actin cytoskeleton
Q8K4B2;Q8C7U8;Q8CE40;Q8K1S8	Apoptosis;Neurotrophin signaling pathway
P15314	Hepatitis C
Q9Z0Y7;A2BHF6;Q8BRB9	Neurotrophin signaling pathway;Insulin signaling pathway;Adipocytokine signaling pathway;Type II diabetes mellitus;Aldosterone-regulated sodium reabsorption
Q9DCE9;J7PDL1;Q8C2M8	Toxoplasmosis
Q3UQ44	Regulation of actin cytoskeleton
P35569	Neurotrophin signaling pathway;Insulin signaling pathway;Adipocytokine signaling pathway;Type II diabetes mellitus;Aldosterone-regulated sodium reabsorption
Q8R4K2;Q80WW1	Apoptosis;Toll-like receptor signaling pathway;Neurotrophin signaling pathway;Leishmaniasis;Chagas disease (American trypanosomiasis);Toxoplasmosis;ko05152;Measles
P56477	Toll-like receptor signaling pathway
P81122;B9EJW3	Neurotrophin signaling pathway;Insulin signaling pathway;Adipocytokine signaling pathway;Type II diabetes mellitus;Aldosterone-regulated sodium reabsorption
P70434	Toll-like receptor signaling pathway;RIG-I-like receptor signaling pathway;Cytosolic DNA-sensing pathway;Hepatitis C;Measles
Q61179	Osteoclast differentiation;Jak-STAT signaling pathway;Hepatitis C;Measles
Q64339;Q8K0H3	RIG-I-like receptor signaling pathway
Q9QUM0;Q3U3R7;Q64229;Q9Z2M0	Focal adhesion;ECM-receptor interaction;Hematopoietic cell lineage;Regulation of actin cytoskeleton;Pathways in cancer;Small cell lung cancer;Hypertrophic cardiomyopathy (HCM);Arrhythmogenic right ventricular cardiomyopathy (ARVC);Dilated cardiomyopathy
Q69ZQ2;Q8VDX4;Q9D3E2	Spliceosome
Q3UV74;O88424;Q2KHL5	Phagosome;Cell adhesion molecules (CAMs);Natural killer cell mediated cytotoxicity;Leukocyte transendothelial migration;Regulation of actin cytoskeleton;Leishmaniasis;Malaria;Amoebiasis;Staphylococcus aureus infection;ko05152;Rheumatoid arthritis;Viral myocarditis
Q61739;A2AU04	Focal adhesion;ECM-receptor interaction;Cell adhesion molecules (CAMs);Hematopoietic cell lineage;Regulation of actin cytoskeleton;Toxoplasmosis;Pathways in cancer;Small cell lung cancer;Hypertrophic cardiomyopathy (HCM);Arrhythmogenic right ventricular cardiomyopathy (ARVC);Dilated cardiomyopathy
Q62469;Q62163;Q6P1C7	Phagosome;Focal adhesion;ECM-receptor interaction;Hematopoietic cell lineage;Regulation of actin cytoskeleton;Pathways in cancer;Small cell lung cancer;Hypertrophic cardiomyopathy (HCM);Arrhythmogenic right ventricular cardiomyopathy (ARVC);Dilated cardiomyopathy
Q9Z0T9;Q544J9	Focal adhesion;ECM-receptor interaction;Regulation of actin cytoskeleton;Hypertrophic cardiomyopathy (HCM);Arrhythmogenic right ventricular cardiomyopathy (ARVC);Dilated cardiomyopathy
P11835;Q64482	Phagosome;Cell adhesion molecules (CAMs);Natural killer cell mediated cytotoxicity;Leukocyte transendothelial migration;Regulation of actin cytoskeleton;Leishmaniasis;Malaria;Amoebiasis;Staphylococcus aureus infection;ko05152;Rheumatoid arthritis;Viral myocarditis
Q3V3R4;F8VQN5	Focal adhesion;ECM-receptor interaction;Hematopoietic cell lineage;Regulation of actin cytoskeleton;Hypertrophic cardiomyopathy (HCM);Arrhythmogenic right ventricular cardiomyopathy (ARVC);Dilated cardiomyopathy
P43406;A2AKI6	Phagosome;Focal adhesion;ECM-receptor interaction;Cell adhesion molecules (CAMs);Regulation of actin cytoskeleton;Pathways in cancer;Small cell lung cancer;Hypertrophic cardiomyopathy (HCM);Arrhythmogenic right ventricular cardiomyopathy (ARVC);Dilated cardiomyopathy
Q62470;Q08441;Q08442;Q5SWA8;Q5SWB9;Q6P6I1	Focal adhesion;ECM-receptor interaction;Hematopoietic cell lineage;Regulation of actin cytoskeleton;Pathways in cancer;Small cell lung cancer;Hypertrophic cardiomyopathy (HCM);Arrhythmogenic right ventricular cardiomyopathy (ARVC);Dilated cardiomyopathy
P26011;Q3U2M1;Q64656	Focal adhesion;ECM-receptor interaction;Cell adhesion molecules (CAMs);Intestinal immune network for IgA production;Regulation of actin cytoskeleton;Hypertrophic cardiomyopathy (HCM);Arrhythmogenic right ventricular cardiomyopathy (ARVC);Dilated cardiomyopathy
A2ARA8;O70304;Q3UXV8;Q8BRG3;Q8C0H7	Focal adhesion;ECM-receptor interaction;Cell adhesion molecules (CAMs);Regulation of actin cytoskeleton;Hypertrophic cardiomyopathy (HCM);Arrhythmogenic right ventricular cardiomyopathy (ARVC);Dilated cardiomyopathy
Q9QXH4	Regulation of actin cytoskeleton;ko05152
Q8C863;O54971	Ubiquitin mediated proteolysis;Endocytosis
Q0VBD0	Focal adhesion;ECM-receptor interaction;Cell adhesion molecules (CAMs);Regulation of actin cytoskeleton;Hypertrophic cardiomyopathy (HCM);Arrhythmogenic right ventricular cardiomyopathy (ARVC);Dilated cardiomyopathy
B8JK39;B9EKC4	Focal adhesion;ECM-receptor interaction;Cell adhesion molecules (CAMs);Regulation of actin cytoskeleton;Hypertrophic cardiomyopathy (HCM);Arrhythmogenic right ventricular cardiomyopathy (ARVC);Dilated cardiomyopathy
Q00651	Focal adhesion;ECM-receptor interaction;Cell adhesion molecules (CAMs);Hematopoietic cell lineage;Leukocyte transendothelial migration;Intestinal immune network for IgA production;Regulation of actin cytoskeleton;Leishmaniasis;Hypertrophic cardiomyopathy (HCM);Arrhythmogenic right ventricular cardiomyopathy (ARVC);Dilated cardiomyopathy
O54890;Q3TZC6	Phagosome;Osteoclast differentiation;Focal adhesion;ECM-receptor interaction;Hematopoietic cell lineage;Regulation of actin cytoskeleton;Hypertrophic cardiomyopathy (HCM);Arrhythmogenic right ventricular cardiomyopathy (ARVC);Dilated cardiomyopathy
Q60677;B1AUD5	Regulation of actin cytoskeleton
P11688;E9QN40	Phagosome;Focal adhesion;ECM-receptor interaction;Hematopoietic cell lineage;Regulation of actin cytoskeleton;Bacterial invasion of epithelial cells;Shigellosis;Hypertrophic cardiomyopathy (HCM);Arrhythmogenic right ventricular cardiomyopathy (ARVC);Dilated cardiomyopathy
Q03526	Chemokine signaling pathway;T cell receptor signaling pathway;Leukocyte transendothelial migration
P24063;E9Q5M7;E9QNL8;Q3U159	Cell adhesion molecules (CAMs);Natural killer cell mediated cytotoxicity;Leukocyte transendothelial migration;Regulation of actin cytoskeleton;Malaria;Staphylococcus aureus infection;Rheumatoid arthritis;Viral myocarditis
P09055;F6R105;Q3TIW5;Q3TWH6;Q60993;Q61126;Q8BTU0;Q8BVU1	Phagosome;Axon guidance;Focal adhesion;ECM-receptor interaction;Cell adhesion molecules (CAMs);Leukocyte transendothelial migration;Regulation of actin cytoskeleton;Bacterial invasion of epithelial cells;Pathogenic Escherichia coli infection;Shigellosis;Leishmaniasis;Toxoplasmosis;Pathways in cancer;Small cell lung cancer;Hypertrophic cardiomyopathy (HCM);Arrhythmogenic right ventricular cardiomyopathy (ARVC);Dilated cardiomyopathy
Q9D892;Q8R0Q8	Purine metabolism;Pyrimidine metabolism;Drug metabolism - other enzymes
O70309;O70308;O88347	Phagosome;Focal adhesion;ECM-receptor interaction;Regulation of actin cytoskeleton;Hypertrophic cardiomyopathy (HCM);Arrhythmogenic right ventricular cardiomyopathy (ARVC);Dilated cardiomyopathy
P70227;Q5DWM4;Q8CED5;Q91Z08	Calcium signaling pathway;Phosphatidylinositol signaling system;Oocyte meiosis;Vascular smooth muscle contraction;Gap junction;Long-term potentiation;Long-term depression;Taste transduction;GnRH signaling pathway;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Alzheimer's disease
Q8BYN3;Q8K0J6;Q8R0Z0	Inositol phosphate metabolism;Phosphatidylinositol signaling system
Q9JHI5;Q9CYI3;Q9DBD7	Valine, leucine and isoleucine degradation
P11881;P20943;Q99LG5	Calcium signaling pathway;Phosphatidylinositol signaling system;Oocyte meiosis;Vascular smooth muscle contraction;Gap junction;Long-term potentiation;Long-term depression;GnRH signaling pathway;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Alzheimer's disease;Huntington's disease
Q9Z329;B2KF91;P70226;Q5DWM3;Q5DWM5;Q61744;Q8R3B0	Calcium signaling pathway;Phosphatidylinositol signaling system;Oocyte meiosis;Vascular smooth muscle contraction;Gap junction;Long-term potentiation;Long-term depression;GnRH signaling pathway;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Alzheimer's disease
Q9QXX0	Notch signaling pathway
O88792;Q8VC39	Cell adhesion molecules (CAMs);Tight junction;Leukocyte transendothelial migration;Epithelial cell signaling in Helicobacter pylori infection
Q9QYE5;F8VPV5;O55139;O70219	Notch signaling pathway
